Location,Due Date,Level,Title,Year of Experiment,Salary Max
Ha Noi city,2023,Senior,Data Engineer,5,2540
Ha Noi city,2023,Senior,Data Engineer,10,5000
Ho Chi Minh city,2023,Senior,Data Engineer,10,5000
Ho Chi Minh city,2023,Senior,Data Engineer,3,2540
Ha Noi city,2023,Junior,Data Engineer,1,1200
Ha Noi city,2023,Senior,Big Data,3,2965
Ha Noi city,2023,Junior,Data Analyst,2,1500
Ho Chi Minh city,2023,Junior,Data Analyst,2,1500
Ho Chi Minh city,2023,Junior,Data Analyst Supervisor,2,930
Ho Chi Minh city,2024,Senior,Data Engineer,3,2500
Ha Noi city,2023,Senior,Data Analyst ,3,1100
Ha Noi city,2023,Intern,Data Analyst,0,85
Ha Noi city,2023,Junior,Data Analyst,2,1060
Ha Noi city,2023,Junior,Data Engineer,2,2500
Ho Chi Minh city,2023,Senior,Data Engineer,3,2000
Ho Chi Minh city,2023,Senior,Data Scientist,3,4000
Ho Chi Minh city,2023,Senior,Data Scientist,5,2540
Ha Noi city,2023,Junior,Data Engineer,2,1485
Ho Chi Minh city,2023,Junior,Data Engineer,2,1700
Ha Noi city,2024,Senior,Data Analyst,3,2500
Ho Chi Minh city,2024,Senior,Data Analyst,3,2500
Ha Noi city,2024,Junior,Data Analyst,2,650
Ha Noi city,2024,Senior,Data Governance Modeling,3,2200
Ha Noi city,2024,Senior,Data Governance Analyst,3,2200
Ha Noi city,2024,Senior,Analytics Governance,3,2200
Ha Noi city,2023,Junior,Data Analyst,2,1200
Ha Noi city,2023,Senior,Data Engineer,3,2200
Ha Noi city,2023,Junior,AI Engineer,1,1485
Ha Noi city,2023,Junior,Data Engineer,2,1485
Ha Noi city,2023,Junior,Data Analyst,2,1485
Ho Chi Minh city,2023,Junior,Data Engineer,2,1270
Ho Chi Minh city,2023,Senior,Data Engineer,3,2540
Ha Noi city,2023,Junior,Data Engineer,2,1485
Ho Chi Minh city,2023,Senior,Data Engineer,3,1695
Ha Noi city,2023,Senior,Data Engineer,5,2000
Ha Noi city,2023,Senior,Data Scientist,10,5085
Ho Chi Minh city,2023,Senior,Data Scientist,10,5085
Ho Chi Minh city,2023,Junior,Data Specialist,2,3000
Ho Chi Minh city,2023,Junior,Data Engineer,2,3000
Ha Noi city,2023,Fresher,Data Analyst,"0,5",510
Ha Noi city,2023,Junior,Data Engineer,1,1270
Ha Noi city,2023,Senior,Data Architect,4,2800
Ho Chi Minh city,2023,Senior,Data Scientist,10,5000
Ha Noi city,2023,Junior,Data Analyst,1,1500
Ha Noi city,2023,Junior,Data Engineer,2,1270
Ho Chi Minh city,2023,Senior,Data Engineer,3,2540
Ho Chi Minh city,2023,Senior,Data Analyst,3,2200
Ho Chi Minh city,2023,Senior,Data Engineer,8,5000
Ha Noi city,2023,Senior,Data Engineer,3,3000
Ho Chi Minh city,2023,Junior,Data Scientist,2,2000
Ho Chi Minh city,2023,Senior,Data Engineer,3,1965
Ha Noi city,2023,Senior,Data Scientist,10,5000
Ho Chi Minh city,2023,Junior,Data Specialist,2,1500
Ho Chi Minh city,2023,Senior,Data Scientist,3,2500
Ho Chi Minh city,2023,Senior,Data Engineer,3,2500
Ho Chi Minh city,2023,Junior,Data Scientist,2,1800
Ho Chi Minh city,2023,Senior,Data Analyst,5,2500
Ho Chi Minh city,2023,Senior,Data Scientist,5,3000
Ha Noi city,2023,Senior,Data Scientist,8,5085
Ho Chi Minh city,2023,Senior,Data Scientist,8,5085
Ho Chi Minh city,2023,Junior,Data Engineer,2,2540
Ho Chi Minh city,2023,Senior,Data Analyst,5,1905
Ha Noi city,2023,Junior,Data Engineer,2,1355
Ho Chi Minh city,2024,Senior,Data Analyst,3,1500
Ho Chi Minh city,2023,Senior,Data Engineer,3,2540
Ha Noi city,2023,Junior,Data Modeling Analyst,2,2200
Ho Chi Minh city,2023,Senior,Data Analyst,5,2500
Ho Chi Minh city,2023,Junior,Data Analyst,2,1800
Ho Chi Minh city,2023,Junior,Data Analyst,2,720
Ho Chi Minh city,2023,Manager,Data Analyst,3,3000
Ho Chi Minh city,2023,Junior,Data Specialist,2,1800
Ho Chi Minh city,2023,Senior,Data Scientist,10,4660
Ha Noi city,2023,Senior,Data Scientist,10,4660
Ha Noi city,2023,Senior,Data Engineer,8,4660
Ho Chi Minh city,2023,Junior,Data Scientist,2,2965
Ha Noi city,2023,Junior,Data Analyst,2,1500
Ha Noi city,2023,Fresher,Data Analyst,0,465
Ha Noi city,2023,Senior,Data Engineer,3,1500
Ha Noi city,2023,Intern,Data Analyst,0,210
Ha Noi city,2023,Fresher,Data Analyst,"0,5",510
Ha Noi city,2023,Senior,Data Engineer,5,2500
Ho Chi Minh city,2023,Senior,Data Engineer,3,2200
Ha Noi city,2023,Senior,Big Data,3,2965
Ho Chi Minh city,2023,Senior,Data Engineer,3,1965
Ha Noi city,2023,Senior,Data Engineer,3,3000
Ha Noi city,2023,Senior,Big Data,4,3000
Ho Chi Minh city,2023,Junior,Data Modeling Analyst,2,1500
Ha Noi city,2023,Senior,Risk Analyst,4,2200
Ha Noi city,2023,Senior,Data Scientist,4,2540
Ha Noi city,2023,Junior,Data Scientist,3,2200
Ha Noi city,2023,Senior,Data Analyst,5,2800
Ho Chi Minh city,2023,Senior,Data Analyst,5,2800
Ha Noi city,2023,Junior,Data Engineer,2,1060
Ha Noi city,2023,Junior,Data Engineer,1,1145
Ha Noi city,2023,Junior,Data Engineer,2,1355
Ha Noi city,2023,Junior,Data Engineer,1,1200
Ha Noi city,2023,Junior,Data Analyst,2,1500
Ha Noi city,2023,Junior,Data Engineer,1,1200
Ha Noi city,2023,Junior,Data Engineer,1,1375
Ho Chi Minh city,2023,Junior,Data Engineer,2,1525
Ha Noi city,2023,Intern,Data Engineer,0,210
Ha Noi city,2023,Junior,Data Analyst,2,1485
Ho Chi Minh city,2023,Intern,Data Engineer,0,210
Ha Noi city,2023,Senior,Data Engineer,3,1200
Ha Noi city,2023,Senior,Actuarial Officer,5,2120
Ha Noi city,2023,Junior,Data Analyst,2,1500
Ha Noi city,2023,Junior,Data Analyst,2,1485
Ha Noi city,2023,Junior,AI Engineer,2,2900
Ha Noi city,2023,Junior,Data Analyst,2,850
Ha Noi city,2023,Junior,Data Analyst,2,1500
Ha Noi city,2023,Senior,Data Scientist,10,3390
Ha Noi city,2023,Senior,Data Engineer,3,2500
Ha Noi city,2023,Intern,AI Engineer,0,210
Ho Chi Minh city,2023,Intern,AI Engineer,0,210
Ha Noi city,2023,Senior,Data Engineer,3,1270
Ho Chi Minh city,2023,Senior,Data Analyst,3,1500
Ho Chi Minh city,2023,Senior,Data Scientist,5,2200
Ha Noi city,2023,Senior,Data Analyst,6,2755
Ho Chi Minh city,2023,Senior,Data Analyst,6,2755
Ho Chi Minh city,2023,Junior,AI Engineer,2,1500
Ha Noi city,2023,Junior,Data Engineer,2,850
Ho Chi Minh city,2023,Senior,Data Architect,8,3500
Ho Chi Minh city,2023,Senior,Data Engineer,3,2500
Ho Chi Minh city,2023,Junior,Data Engineer,2,2200
Ho Chi Minh city,2023,Senior,Data Engineer,3,1270
Ho Chi Minh city,2023,Senior,Data Engineer,8,3000
Ha Noi city,2023,Senior,Data Engineer,3,2500
Ha Noi city,2023,Senior,Data Analyst,3,2800
Ha Noi city,2023,Fresher,Data Analyst,0,380
Ha Noi city,2023,Junior,Data Analyst,2,975
Ho Chi Minh city,2023,Junior,Data Engineer,2,1525
Ha Noi city,2023,Senior,Big Data,4,2965
Ho Chi Minh city,2023,Junior,AI Engineer,2,1500
Ho Chi Minh city,2023,Senior,Data Engineer,6,2800
Ha Noi city,2023,Intern,AI Engineer,0,210
Ha Noi city,2023,Junior,Data Analyst,2,1500
Ha Noi city,2023,Senior,Big Data,3,2500
Ha Noi city,2023,Senior,Data Engineer,4,1485
Ho Chi Minh city,2023,Senior,Data Engineer,4,2000
Ho Chi Minh city,2023,Junior,Research Analyst,2,1600
Ho Chi Minh city,2023,Senior,Data Integration ,5,2700
Ho Chi Minh city,2023,Junior,Data Engineer,2,1525
Ho Chi Minh city,2023,Senior,Data Integration ,5,1700
Ha Noi city,2023,Manager,Machine Learning,8,6000
Ho Chi Minh city,2023,Senior,Data Science Expert ,5,2500
Ho Chi Minh city,2023,Senior,Data Engineer,5,2500
Ha Noi city,2023,Senior,Data Governance,2,2500
Ha Noi city,2023,Senior,Data Analyst,5,2330
Ha Noi city,2023,Junior,Data Modeling Analyst,2,2200
Ho Chi Minh city,2023,Senior,Data Engineer,5,3000
Ha Noi city,2023,Senior,Data Scientist,10,4500
Ho Chi Minh city,2023,Senior,Data Analyst,3,2200
Ho Chi Minh city,2023,Fresher,Data Analyst,0,425
Ha Noi city,2023,Senior,Data Engineer,3,1800
Ha Noi city,2023,Junior,Data Analyst,2,1270
Ha Noi city,2024,Senior,Data Analyst,4,1500
Ho Chi Minh city,2023,Junior,Data Engineer,2,1060
Ho Chi Minh city,2023,Senior,AI Engineer,4,1500
Ho Chi Minh city,2023,Junior,Data Engineer,2,1060
Ho Chi Minh city,2023,Senior,AI Engineer,4,1500
Ho Chi Minh city,2023,Senior,Data Engineer,5,3500
Ha Noi city,2023,Senior,Data Engineer,3,1145
Ha Noi city,2023,Senior,Risk Analyst,3,2200
Ho Chi Minh city,2023,Junior,Demand Analyst,2,1500
Ho Chi Minh city,2023,Junior,Data Analyst,2,1800
Ho Chi Minh city,2023,Senior,Data Engineer,4,2500
Ha Noi city,2023,Senior,Data Engineer,4,2540
HA Noi city,2023,Senior,Big Data,4,3390
Ho Chi Minh city,2023,Junior,Data Specialist,2,1500
Ho Chi Minh city,2023,Senior,Data Analyst,3,1270
Ha Noi city,2023,Fresher,Data Analyst,1,850
Ha Noi city,2023,Senior,Data Engineer,6,3000
Ho Chi Minh city,2023,Senior,Data Analyst,5,2500
Ha Noi city,2023,Intern,Data Analyst,0,85
Ho Chi Minh city,2023,Junior,AI Engineer,2,1500
Ho Chi Minh city,2023,Senior,Data Engineer,4,2000
Ha Noi city,2023,Senior,Big Data,3,2965
Ha Noi city,2023,Junior,Data Analyst,2,1060
Ha Noi city,2023,Junior,Data Engineer,"1,5",1485
Ha Noi city,2023,Senior,Data Analyst,3,1270
Ho Chi Minh city,2024,Senior,Data Engineer,3,1500
Ha Noi city,2023,Junior,Data Engineer,"1,5",1185
Ha Noi city,2023,Junior,Data Analyst,2,1200
Ha Noi city,2023,Intern,Data Analyst,0,210
Ho Chi Minh city,2023,Intern,Data Engineer,0,170
Ha Noi city,2023,Senior,Data Engineer,5,2200
Ha Noi city,2023,Junior,Data Engineer,2,1485
Ha Noi city,2023,Senior,Data Architect,4,2800
Ha Noi city,2023,Junior,Actuarial Officer,2,1800
Ho Chi Minh city,2023,Junior,Actuarial Officer,2,1800
Ha Noi city,2023,Senior,Actuarial Officer,5,2120
Ha Noi city,2023,Junior,Data Analyst,2,850
Ho Chi Minh city,2023,Senior,Sales Analyst,5,2200
Ho Chi Minh city,2023,Senior,Data Scientist,5,2540
Ho Chi Minh city,2023,Senior,Data Engineer,4,2000
Ho Chi Minh city,2023,Senior,Data Engineer,4,2000
Ha Noi city,2023,Junior,AI Engineer,2,1270
Ho Chi Minh city,2023,Fresher,Data Processing,0,850
Ha Noi city,2023,Senior,Data Scientist,3,2500
Ha Noi city,2023,Senior,Data Analyst,4,1060
Ho Chi Minh city,2023,Junior,Risk MIS,2,1700
Ho Chi Minh city,2023,Senior,Data Engineer,8,4000
Ho Chi Minh city,2023,Senior,Data Engineer,4,2000
Ho Chi Minh city,2023,Junior,Data Analyst,1,595
Ha Noi city,2023,Junior,AI Engineer,1,850
Ha Noi city,2023,Senior,Data Analysr,5,2540
Ho Chi Minh city,2023,Senior,Data Analysr,5,2540
Ha Noi city,2023,Senior,Big Data,5,2965
Ha Noi city,2023,Senior,AI Engineer,5,1695
Ha Noi city,2023,Junior,Data Engineer,2,1485
Ha Noi city,2023,Intern,Data Analyst,0,210
Ho Chi Minh city,2023,Intern,Data Engineer,0,170
Ha Noi city,2023,Senior,Data Engineer,5,2200
Ho Chi Minh city,2023,Senior,Data Engineer,4,3500
Ho Chi Minh city,2023,Senior,Data Engineer,3,1680
Ho Chi Minh city,2023,Senior,Data Engineer,3,3180
Ho Chi Minh city,2023,Junior,Data Analyst,1,635
Ho Chi Minh city,2024,Junior,Data Analyst,1,1500
Ho Chi Minh city,2024,Senior,Data Analyst,2,2800
Ho Chi Minh city,2024,Junior,Data Analyst,2,2200
Ha Noi city,2024,Senior,Data Engineer,3,2500
Ho Chi Minh city,2023,Junior,Data Analyst,2,1800
Ho Chi Minh city,2023,Senior,Data Engineer,5,2800
Ho Chi Minh city,2023,Junior,Data Analyst,2,2200
Ho Chi Minh city,2023,Senior,Data Specialist,3,2500
Ha Noi city,2023,Junior,Data Engineer,3,3000
Ha Noi city,2024,Junior,AI Engineer,2,2200
Ho Chi Minh city,2024,Senior,Data Analyst Marketing,3,1200
Ho Chi Minh city,2023,Manager,Head of Data Science,7,4500
Ho Chi Minh city,2023,Junior,Data Analyst,1,635
Ho Chi Minh city,2024,Senior,Data Engineer Lead,7,5000
Ho Chi Minh city,2023,Junior,Business Data Analyst,1,1500
Ho Chi Minh city,2023,Senior,Data Analyst Lead,8,5300
Ho Chi Minh city,2023,Senior,Data Engineer,3,2500
Ha Noi city,2023,Senior,Data Engineer,3,1485
Ha Noi city,2023,Fresher,Data Analyst,1,720
Ha Noi city,2024,Junior,Business Intelligence Analyst,1,550
Ha Noi city,2024,Junior,Data Engineer,2,1695
Ha Noi city,2024,Junior,Data Analyst,2,1355
Ho Chi Minh city,2024,Junior,AI Engineer,"2,5",3000
Ha Noi city,2023,Senior,Data Analyst,4,2500
Ho Chi Minh city,2023,Senior,Data Analyst,5,3000
Ho Chi Minh city,2023,Senior,Data Engineer,3,3000
Ha Noi city,2023,Fresher,Data Intelligence Platform,1,1060
Ho Chi Minh city,2023,Junior,Data Analyst,2,1500
Ho Chi Minh city,2023,Senior,Data Engineer,3,3000
Ho Chi Minh city,2023,Fresher,Data Engineer,1,850
Ho Chi Minh city,2023,Senior,Data Engineer,5,3390
Ha Noi city,2023,Junior,Data Engineer,2,1100
Ha Noi city,2023,Junior,Data Engineer,2,1485
Ha Noi city,2024,Junior,Data Engineer,1,1100
Ha Noi city,2024,Intern,Data Engineer,0,210
Ha Noi city,2024,Junior,Data Analyst,1,1200
Ha Noi city,2024,Junior,Data Engineer,1,1200
Ha Noi city,2024,Junior,Data Analyst,2,850
Ho Chi Minh city,2024,Senior,Data Engineer,5,3000
Ho Chi Minh city,2024,Manager,Data Science Manager,6,6500
Ho Chi Minh city,2024,Senior,AI Engineer,3,3000
Ho Chi Minh city,2024,Junior,Data Analyst,2,1800
Ho Chi Minh city,2023,Junior,Data Analyst,2,1300
Ho Chi Minh city,2023,Senior,Data Engineer,5,3000
Ho Chi Minh city,2023,Intern,Data Analyst,0,250
Ha Noi city,2023,Junior,Data Analyst,1,635
Ha Noi city,2023,Senior,Data Engineer,3,3000
Ha Noi city,2023,Senior,Data Engineer,3,2500
Ho Chi Minh city,2023,Junior,Data Engineer,2,2200
Ha Noi city,2023,Senior,Data Engineer,3,3000
Ha Noi city,2023,Junior,Data Engineer,2,2120
Ha Noi city,2023,Junior,Data Engineer,1,1270
Ho Chi Minh city,2023,Senior,Lead Data Engineer,8,5100
Ha Noi city,2023,Junior,Data Engineer,2,1610
Ho Chi Minh city,2023,Junior,Data Engineer,2,2200
Ha Noi city,2024,Senior,Data Architect,5,2800
Ha Noi city,2024,Junior,Data Analyst,1,635
Ho Chi Minh city,2024,Senior,Data Scientist,3,3000
Ha Noi city,2024,Senior,Data Analyst,3,1270
Ha Noi city,2024,Fresher,Data Engineer,"0,5",635
Ha Noi city,2024,Fresher,Data Assistant,"0,5",700
Ha Noi city,2024,Senior,Data Engineer,3,1100
Ha Noi city,2024,Junior,Data Analyst,1,850
Ha Noi city,2024,Junior,Data Scientist,2,1485
Ha Noi city,2024,Junior,Data Engineer,1,1485
Ha Noi city,2024,Junior,Data Engineer,2,1060
Ho Chi Minh city,2024,Senior,Data Engineer,3,3000
Ho Chi Minh city,2024,Junior,Data Analyst,1,1200
Ho Chi Minh city,2024,Junior,Business Intelligence Analyst,1,1800
Ho Chi Minh city,2024,Junior,Business Intelligence Analyst,1,1800
Ho Chi Minh city,2024,Junior,Data Engineer,2,1270
Ho Chi Minh city,2024,Senior,Data Analyst,3,1500
Ha Noi city,2024,Senior,Data Analyst,3,3000
Ho Chi Minh city,2024,Senior,Data Modeling,3,2500
Ho Chi Minh city,2023,Senior,Data Engineer,5,3000
Ho Chi Minh city,2023,Junior,Data Engineer,2,1300
Ha Noi city,2023,Junior,Data Engineer,"2,5",2800
Ho Chi Minh city,2023,Senior,Data Scientist,4,2800
Ho Chi Minh city,2023,Senior,Data Analyst,8,3000
Ha Noi city,2023,Senior,Data Engineer,7,3000
Ho Chi Minh city,2023,Senior,Data Analyst,3,4500
Ha Noi city,2023,Junior,Data Engineer,"2,5",2540
Ho Chi Minh city,2023,Senior,Data Engineer,3,1485
Ha Noi city,2023,Senior,Data Engineer Lead,3,2120
Ha Noi city,2023,Junior,Data Engineer,2,1610
Ha Noi city,2023,Junior,Data Engineer,2,1530
Ha Noi city,2023,Senior,Data Scientist,3,2500
Ha Noi city,2023,Senior,Data Analyst,"3,5",2755
Ho Chi Minh city,2023,Senior,Data Engineer,5,5000
Ha Noi city,2023,Fresher,Data Engineer,0,340
Ha Noi city,2024,Senior,Data Analyst,3,1270
Ha Noi city,2023,Senior,Data Engineer,3,1610
Ha Noi city,2023,Junior,Data Engineer,1,2200
Ho Chi Minh city,2023,Senior,Data Engineer,3,2200
Ho Chi Minh city,2023,Junior,Data Analyst,1,1200
Ho Chi Minh city,2023,Senior,Data Engineer,6,3500
Ha Noi city,2023,Senior,Data Analyst,3,1800
Ho Chi Minh city,2023,Senior,Business Intelligence Analyst,5,1695
Ho Chi Minh city,2023,Senior,Data Engineer,3,2200
Ho Chi Minh city,2023,Senior,Data Engineer,3,2500
Ho Chi Minh city,2023,Senior,Data and Reporting Analysis,3,3500
Ha Noi city,2023,Junior,Data Engineer,1,1500
Ha Noi city,2023,Junior,Data Scientist,2,1800
Ho Chi Minh city,2023,Senior,Cloud Data Engineer,3,2500
Ha Noi city,2024,Senior,Data Analyst,3,1270
Ha Noi city,2024,Senior,Data Analyst,4,2500
Ha Noi city,2024,Senior,Data Engineer,3,2800
Ha Noi city,2024,Senior,Data Analyst,3,1800
Ha Noi city,2024,Intern,Data Analyst,0,255
Ha Noi city,2024,Junior,Data Analyst,2,1500
Ha Noi city,2024,Junior,Data Engineer,1,1000
Ho Chi Minh city,2024,Junior,Data Analyst,2,635
Ho Chi Minh city,2024,Junior,Data Analyst,1,1500
Ho Chi Minh city,2024,Intern,Data Analyst,0,255
Ho Chi Minh city,2024,Manager,Data Science Manager,4,3500
Ho Chi Minh city,2023,Senior,Big Data Leader,5,4575
Ho Chi Minh city,2023,Junior,Data Analyst,2,1500
Ho Chi Minh city,2023,Senior,Data Scientist,5,3000
Ho Chi Minh city,2023,Senior,Data Engineer,3,1800
Ha Noi city,2023,Junior,Data Scientist,2,2000
Ha Noi city,2023,Junior,Data Engineer,2,1500
Ho Chi Minh city,2023,Manager,Head of Data Science,6,4000
Ho Chi Minh city,2023,Senior,Data Scientist,5,3000
Ha Noi city,2023,Junior,Data Engineer,2,1695
Ha Noi city,2023,Junior,Data Analyst,2,680
Ho Chi Minh city,2023,Fresher,Data Engineer,0,1270
Ho Chi Minh city,2023,Junior,Computer Vision Engineer,"2,5",2000
Ha Noi city,2024,Senior,Data Scientist,3,1900
Ho Chi Minh city,2024,Intern,Data Analyst,0,210
Ha Noi city,2024,Junior,Data Scientist,2,1485
Ha Noi city,2024,Junior,Data Engineer,1,1485
Ha Noi city,2024,Junior,Data Analyst,1,850
Ho Chi Minh city,2024,Junior,Data Analyst,2,850
Ha Noi city,2024,Junior,Data Analyst,1,510
Ha Noi city,2024,Fresher,Data Scientist,1,2200
Ha Noi city,2024,Fresher,AI Engineer,1,2200
Ha Noi city,2024,Fresher,Data Modeling,1,2200
Ha Noi city,2024,Senior,Data Architect,5,3000
Ha Noi city,2024,Junior,Data Analyst,2,1600
Ha Noi city,2024,Junior,Data Engineer,1,1800
Ha Noi city,2024,Senior,Data Scientist,3,2200
Ha Noi city,2024,Senior,Analyst Accounting and Finance,2,1300
Ha Noi city,2024,Junior,Data Analyst,2,1300
Ho Chi Minh city,2024,Senior,Data Engineer,5,3000
Ho Chi Minh city,2024,Senior,Data Engineer,5,3000
Ho Chi Minh city,2024,Senior,Data Analyst Lead,8,5000
Ha Noi city,2024,Junior,Data Analyst,1,680
Ha Noi city,2023,Senior,Data Architect,3,3000
Ho Chi Minh city,2023,Senior,Data Analyst,4,3000
Ho Chi Minh city,2023,Senior,Data Engineer,3,2200
Ha Noi city,2023,Manager,Head of Data Science,13,6000
Ho Chi Minh city,2023,Junior,Data Analyst,2,1100
Ha Noi city,2023,Senior,Data Engineer,3,1100
Ha Noi city,2024,Junior,Data Analyst,2,765
Ha Noi city,2024,Fresher,Data Engineer,0,340
Ha Noi city,2024,Junior,Data Engineer,2,1060
Ho Chi Minh city,2024,Fresher,Data Analyst,"0,5",850
Ho Chi Minh city,2024,Junior,Data Analyst,1,765
Ho Chi Minh city,2024,Senior,Data Engineer,3,3000
Ho Chi Minh city,2024,Junior,Data Architect,2,3000
Ho Chi Minh city,2024,Senior,Data Science    ,5,2500
Ho Chi Minh city,2024,Manager,Data Engineer,5,3500
Ha Noi city,2024,Senior,Data Analyst,3,1800
Ha Noi city,2024,Fresher,Data Engineer,1,2000
Ho Chi Minh city,2024,Junior,Business Intelligence Analyst,2,2500
Ha Noi city,2024,Intern,Data Analyst,0,210
Ha Noi city,2024,Senior,AI Engineer,3,2800
Ho Chi Minh city,2023,Junior,Data Analyst,3,1500
Ho Chi Minh city,2023,Junior,Data Engineer,1,1200
Ho Chi Minh city,2023,Junior,Data Analyst,2,1800
Ho Chi Minh city,2023,Junior,Data Analyst,2,1800
Ha Noi city,2023,Junior,Data Analyst,1,1200
Ho Chi Minh city,2023,Junior,Data Scientist,2,3000
Ho Chi Minh city,2023,Senior,Data Architect,6,5000
Ha Noi city,2023,Junior,Data Engineer,2,2500
Ha Noi city,2023,Junior,Data Analyst,1,675
Ha Noi city,2023,Junior,Data Analyst,2,2120
Ho Chi Minh city,2023,Senior,Data Analyst,6,3000
Ha Noi city,2024,Junior,Data Analyst,2,1300
Ha Noi city,2024,Junior,Data Engineer,2,1695
Ha Noi city,2024,Junior,Data Scientist,2,1485
Ha Noi city,2024,Junior,Data Science    ,2,1485
Ho Chi Minh city,2024,Junior,Data Analyst,2,900
Ho Chi Minh city,2024,Junior,Data Scientist,2,900
Ho Chi Minh city,2024,Junior,Data Scientist,2,900
Ho Chi Minh city,2024,Junior,Data Engineer,2,2200
Ha Noi city,2023,Senior,Data Analyst,3,2500
Ho Chi Minh city,2023,Senior,Data Engineer,4,2000
Ho Chi Minh city,2023,Junior,Data Engineer,2,2000
Ha Noi city,2023,Junior,AI Engineer,1,850
Ha Noi city,2023,Senior,Data Engineer,3,2200
Ha Noi city,2023,Junior,AI Engineer,1,850
Ho Chi Minh city,2023,Junior,Data Engineer,2,2500
Ho Chi Minh city,2023,Junior,Business Intelligence Analyst,3,1060
Ho Chi Minh city,2023,Junior,Data Analyst,2,1270
Ho Chi Minh city,2023,Junior,Data Analyst,1,1270
Ho Chi Minh city,2023,Junior,Data Analyst,1,765
Ho Chi Minh city,2023,Senior,Data Engineer,4,2000
Ho Chi Minh city,2023,Senior,Data Engineer,4,2500
Ho Chi Minh city,2023,Senior,Data Engineer,3,2000
Ho Chi Minh city,2023,Senior,Data Engineer,5,3800
Ho Chi Minh city,2023,Senior,Data Engineer,4,2000
Ho Chi Minh city,2023,Intern,Data Analyst,0,350
Ho Chi Minh city,2023,Junior,Business Intelligence Analyst,2,1270
Ho Chi Minh city,2023,Senior,Data Analyst,5,2500
Ho Chi Minh city,2023,Senior,Data Analyst,2,2000
Ha Noi city,2023,Junior,Data Engineer,2,1500
Ha Noi city,2023,Fresher,Data Engineer,0,990
Ha Noi city,2023,Junior,Data Analyst,1,635
Ha Noi city,2023,Senior,Data Analyst,3,2980
Ha Noi city,2023,Junior,Data Engineer,"2,5",2540
Ha Noi city,2023,Senior,Big Data Engineer,3,2965
Ho Chi Minh city,2023,Senior,Data Engineer,4,2500
Ha Noi city,2023,Senior,Data Analyst,4,2500
Ha Noi city,2023,Senior,Data Engineer,3,2200
Ha Noi city,2023,Senior,Data Warehouse Engineer,3,2500
Ho Chi Minh city,2023,Senior,Data Analyst,1,850
Ha Noi city,2023,Junior,Data Governance,2,1270
Ho Chi Minh city,2023,Senior,Data Analyst,3,1800
Ho Chi Minh city,2023,Manager,Data Head,10,5500
Ho Chi Minh city,2023,Manager,Data Engineer,12,6150
Ho Chi Minh city,2023,Junior,Business Intelligence Analyst,2,1800
Ha Noi city,2023,Junior,Data Engineer,2,2120
Ha Noi city,2023,Junior,Data Engineer,2,1695
Ha Noi city,2023,Fresher,Data Analyst,"0,5",425
Ha Noi city,2023,Junior,Data Analyst,"2,5",1905
Ha Noi city,2023,Junior,Data Engineer,2,1485
Ha Noi city,2023,Junior,Data Engineer,"1,5",1695
Ha Noi city,2023,Senior,Big Data,3,2965
Ha Noi city,2023,Senior,Computer Vision Engineer,3,2000
Ho Chi Minh city,2023,Junior,AI Research Engineer,"2,5",2450
Ho Chi Minh city,2023,Intern,Data Analyst,0,850
Ha Noi city,2023,Junior,Data Scientist,"3,5",3000
Ho Chi Minh city,2023,Senior,Business Intelligence Analyst,5,2800
Ho Chi Minh city,2023,Junior,AI Engineer,2,1485
Ha Noi city,2023,Manager,Data Engineer,12,9000
Ho Chi Minh city,2023,Junior,Data Engineer,4,3000
Ho Chi Minh city,2023,Junior,Data Scientist,1,3000
Ho Chi Minh city,2023,Junior,Data Engineer,2,1800
Ho Chi Minh city,2023,Junior,Data Analyst,2,1200
Ha Noi city,2023,Fresher,Data Analyst,"0,5",425
Ho Chi Minh city,2023,Manager,Head of Data and Smart,5,3500
Ha Noi city,2023,Senior,Data Engineer,5,2500
Ho Chi Minh city,2023,Senior,Data Analyst,4,1200
Ha Noi city,2023,Fresher,Data Analyst,"0,5",850
Ha Noi city,2023,Junior,Data Engineer,1,1695
Ho Chi Minh city,2023,Senior,Finance Management ,3,1500
Ha Noi city,2023,Intern,Data Engineer,0,850
Ho Chi Minh city,2023,Senior,Data Analyst,3,2200
Ha Noi city,2023,Senior,Data Engineer,5,2500
Ha Noi city,2023,Senior,Data Analyst,3,2340
Ha Noi city,2023,Manager,Head of Data Science,15,10000
Ha Noi city,2023,Senior,Data Engineer,4,2540
Ho Chi Minh city,2023,Senior,Data Engineer,5,2330
Ha Noi city,2023,Senior,Data Architect,7,3500
Ha Noi city,2023,Senior,Data Analyst,3,1695
Ha Noi city,2023,Junior,Data Engineer,1,1800
Ha Noi city,2023,Senior,Data Engineer,5,2500
Ha Noi city,2023,Senior,Data Engineer,4,1270
Ho Chi Minh city,2023,Junior,Data Analyst,1,1200
Ho Chi Minh city,2023,Senior,Data Scientist,5,2500
Ho Chi Minh city,2023,Senior,Data Analyst,4,2500
Ha Noi city,2023,Junior,Data Engineer,1,1800
Ha Noi city,2023,Senior,Data Scientist,3,2200
Ha Noi city,2023,Senior,Data Governance,5,2500
Ha Noi city,2023,Senior,Data Engineer,6,6355
Ha Noi city,2023,Senior,Big Data,3,2965
Ha Noi city,2023,Junior,AI Engineer,2,2200
Ho Chi Minh city,2023,Junior,Data Analyst,2,1800
Ha Noi city,2023,Senior,Data Analyst,3,1800
